genes	brain	SP
1700030K09Rik	0.107405663158969	0.121233137465588
1700034J05Rik	0.0090081734779661	0.0117766652020204
1700034O15Rik	0.00340465113863222	NA
1700037C18Rik	0.0575179846165054	0.0502758070836426
1700037H04Rik	0.0861182149747275	0.0855134548711673
1700040L02Rik	0.0580728419820171	0.0807776028319733
1700057G04Rik	0.0096301983433204	0.0117766652020204
1700066M21Rik	0.0496283321172052	0.0561755781430659
1700067K01Rik	0.0217234455749596	0.0192334367747743
1700088E04Rik	0.0770805723766318	0.0698018771856682
1700093K21Rik	0.0371227013019446	0.0424967481697266
1700102P08Rik	0.0533839041000568	0.0486103986477459
1700112E06Rik	0.136256899503081	0.226197835836127
1700113H08Rik	0.0233668206294833	0.0359495681226308
1700123O20Rik	0.0369275251773895	0.0366371652723655
1700125H20Rik	0.0127399980227525	0.0166558746885991
1810011H11Rik	0.0262133428791419	0.0269450422939148
1810011O10Rik	0.0122764981142695	0.0135988359894568
1810013L24Rik	0.236007705590766	0.246856423090598
1810022K09Rik	0.0865642031621396	0.0901884520871291
1810030O07Rik	0.120073781810243	0.121051030110716
1810041L15Rik	0.180732109912304	0.194193426776448
1810043G02Rik	0.0835949438712212	0.112023453679151
1810046K07Rik	0.010214427035104	0.00679894651686529
1810055G02Rik	0.103210775533561	0.0961371365403495
2010107E04Rik	0.0743786176094828	0.09349213043635
2010107G23Rik	0.0394741325183049	0.0442720479275866
2010111I01Rik	0.439029398887599	0.49499615932386
2010300C02Rik	0.19947733851523	0.122980360255647
2210016F16Rik	0.0392437786077374	0.0491195773094345
2210016L21Rik	0.143647856924453	0.161781497550544
2210408I21Rik	0.425496766687403	0.443783016834692
2300009A05Rik	0.0721016881420158	0.0854311215128773
2310007B03Rik	0.00481493172198371	NA
2310009B15Rik	0.0425037215559718	0.0456966513180767
2310011J03Rik	0.0490758329494939	0.0507320232888892
2310022A10Rik	0.12723477147379	0.143484541589039
2310022B05Rik	0.108704835680262	0.1074597738946
2310030G06Rik	0.022244460635105	0.0228266629699302
2310033P09Rik	0.0744776682284484	0.0865345130159331
2310035C23Rik	0.361632571453504	0.383983810582223
2310036O22Rik	0.126057949917705	0.140225485999515
2310039H08Rik	0.0156632254958315	0.0117766652020204
2310057J18Rik	0.00340465113863222	NA
2310057M21Rik	0.056044838834244	0.0601726952400735
2310061I04Rik	0.104806500397124	0.104954745509153
2410004B18Rik	0.0545451974335899	0.0569750032241748
2410004P03Rik	0.021266723873625	0.0196301954936539
2410015M20Rik	0.0432889159645862	0.0481303517910324
2410089E03Rik	0.45098018120882	0.526669014870994
2410131K14Rik	0.0997070048417945	0.12240174183723
2510009E07Rik	0.231169534196842	0.227727832353552
2610001J05Rik	0.052591341583574	0.0515086423674035
2610020H08Rik	0.0962766716442927	0.0962601770801377
2610028H24Rik	0.0127399980227525	NA
2610301B20Rik	0.131430926341041	0.143143279927072
2610507B11Rik	0.255236648541192	0.311392706532213
2610528A11Rik	0.00833989972832039	0.00961538461538462
2610528J11Rik	0.00340465113863222	NA
2700049A03Rik	0.239227396126682	0.22363961015205
2700060E02Rik	0.11080176646995	0.11952726575116
2700062C07Rik	0.0808352093630882	0.0925999240721022
2700081O15Rik	0.0979230396394102	0.0934980748696069
2810004N23Rik	0.151288067328777	0.152306180582987
2810006K23Rik	0.0667118601086155	0.06716386137987
2810403A07Rik	0.269053740679949	0.290621058935596
2810428I15Rik	0.0563483391967585	0.0437483084145669
2810459M11Rik	0.0546288130100643	0.0487397735122318
2810474O19Rik	0.158401334197138	0.163264953014864
2900011O08Rik	0.345020685806409	0.376125994936339
2900026A02Rik	0.213806520419278	0.180770946927813
2900092C05Rik	0.0184738441219821	0.0135988359894568
3110002H16Rik	0.148795569603218	0.182321280846889
3110009E18Rik	0.0903855182917306	0.101190303802674
3110035E14Rik	0.129804671353605	0.15659130907374
3110040N11Rik	0.0764454428247588	0.086693807977443
3110043O21Rik	0.144900127285129	0.15661289913629
3110062M04Rik	0.0444015063747862	0.0440647471040866
3110079O15Rik	0.0096301983433204	0.00679894651686529
3110082I17Rik	0.224316734632818	0.182247803503464
3425401B19Rik	0.00794439063409038	0.0192334367747743
3632451O06Rik	0.18406017298518	0.212800896513494
3830406C13Rik	0.125247258870007	0.13386026058579
4430402I18Rik	0.0841495022365798	0.10055741025973
4833420G17Rik	0.211434394184332	0.203588340917514
4833427G06Rik	0.0299224928658943	0.0254469755794763
4833439L19Rik	0.160125422482314	0.179423722280296
4921504E06Rik	0.0209187398039312	0.0166558746885991
4921507P07Rik	0.0628609074210039	0.080382943360681
4921511H03Rik	0.0152277397525376	0.0281999381429958
4921524J17Rik	0.121246436114304	0.0971924628773106
4921536K21Rik	0.0223312271709268	0.0192334367747743
4921539E11Rik	0.02309749239116	0.0166558746885991
4930402H24Rik	0.608358989464461	0.701844886560604
4930404N11Rik	0.027247159871082	0.021504630445456
4930415F15Rik	0.0470009887898581	0.0592584344745249
4930415O20Rik	0.0233668206294833	0.0225547682155007
4930427A07Rik	0.0352573930108181	0.0414454582110823
4930430F08Rik	0.103703077009985	0.125114989671928
4930432K21Rik	0.0674116141631248	0.0719092660506948
4930444P10Rik	0.0866136880376839	0.0824331600267878
4930447C04Rik	0.109321591496631	0.173811632124791
4930451G09Rik	0.0385476147059934	0.0481660733593387
4930451I11Rik	0.00481493172198371	NA
4930452B06Rik	0.130651213388165	0.142781955181452
4930453N24Rik	0.0892675073005423	0.103790305002364
4930503L19Rik	0.136738559816895	0.13816269124099
4930505A04Rik	0.050785040030741	0.0707620145795768
4930522H14Rik	0.00589709711163649	NA
4930524B15Rik	0.0141174847876385	0.0166558746885991
4930539E08Rik	0.0329113519869102	0.0542485521446496
4930544D05Rik	0.0112926048874493	0.0172022724842856
4930549C01Rik	0.00589709711163649	NA
4930550C14Rik	0.0253157594470301	0.0311710994421013
4930558K02Rik	0.0608862398844768	0.0714148201129199
4930562C15Rik	0.0192630765804464	0.0235582318451527
4930578C19Rik	0.0366700848400586	0.0266765328802046
4930579F01Rik	0.00761320788697256	NA
4930579G24Rik	0.0176937527605149	0.0135988359894568
4930590J08Rik	0.02797365872737	0.0662654032498337
4930595M18Rik	0.00481493172198371	0.00679894651686529
4931406C07Rik	0.139860573804139	0.151175146140355
4931406P16Rik	0.24668400060345	0.286133940918085
4931409K22Rik	0.0183375836135944	0.0282780087125461
4931414P19Rik	0.0734319082868324	0.0732995118743432
4931428F04Rik	0.164882980975466	0.156214920458027
4932438A13Rik	0.465685538246723	0.517111391159149
4932438H23Rik	0.0697594432560457	0.104952871624624
4933400A11Rik	0.00481493172198371	NA
4933402J07Rik	0.0183059291741678	0.0166558746885991
4933405L10Rik	0.00761320788697256	0.00961538461538462
4933411K16Rik	0.0090081734779661	0.0280431470571369
4933417A18Rik	0.00794439063409038	0.0117766652020204
4933427D14Rik	0.268261033259322	0.314322639083902
4933430I17Rik	0.0302136198544727	0.0353150979465549
5031439G07Rik	0.239371303834322	0.339402521959009
5330417C22Rik	0.260794496627196	0.294033398111353
5430427O19Rik	0.0131872272349847	0.0135988359894568
5730409E04Rik	0.0423398756912548	0.0606102820756
5730455P16Rik	0.140087285025941	0.157925959813106
5730480H06Rik	0.0991600498599199	0.121190528055492
5730508B09Rik	0.0777251049444964	0.0627183066157302
5730559C18Rik	0.0699297973718438	0.105853598502554
6030419C18Rik	0.0899500870457294	0.11321763130814
6030458C11Rik	0.157906780789513	0.160380608726519
6030468B19Rik	0.00761320788697256	0.0128495648973275
6330408A02Rik	0.102442224451642	0.0989183047458144
6430548M08Rik	0.0968304688578482	0.117840024002844
6430550D23Rik	0.0500779251129492	0.0631575089722793
6430571L13Rik	0.0669155918836937	0.0701033826420462
6430573F11Rik	0.167464437928999	0.135075390829839
6820408C15Rik	0.0744889161406759	0.0799844034541323
8030462N17Rik	0.254260219243655	0.268044785988305
8430408G22Rik	0.00589709711163649	NA
9030617O03Rik	0.083291364654758	0.111966413653781
9030624J02Rik	0.321132400127287	0.363191913776684
9130008F23Rik	0.0200834696459878	0.0179908167467476
9130011E15Rik	0.359092549961954	0.39412513551007
9130023H24Rik	0.0245754202999686	0.0196301954936539
9230110C19Rik	0.128599773753023	0.145793041122819
9330159F19Rik	0.36046967592639	0.340533415734109
9330182L06Rik	0.322189490872858	0.394321738232626
9430015G10Rik	0.13533725149572	0.135096896511178
9430020K01Rik	0.142702063562183	0.112781127866944
9430038I01Rik	0.087667873569092	0.108633313782107
9530068E07Rik	0.0961093933126094	0.0957310673169867
9530077C05Rik	0.128955768223903	0.140679124359741
9930021J03Rik	0.349803334200481	0.346082633493503
a	0.0719470685013543	0.0645336334515246
A130010J15Rik	0.0404946369893029	0.0403137900262043
A1cf	0.0131872272349847	0.0179908167467476
A230050P20Rik	0.112860914190495	0.174763914244229
A2m	0.0579515330469186	0.079509522873217
A3galt2	0.0646575062500699	0.0590015448824837
A430005L14Rik	0.0459418329912288	0.0500551772987616
A430105I19Rik	0.0362366653867636	0.0385550972312467
A4galt	0.0428627090995073	0.0485959207950144
A4gnt	0.00481493172198371	NA
A530016L24Rik	0.0117169443966551	0.0158658384210047
A730017C20Rik	0.137697691410244	0.149036308062696
A830018L16Rik	0.362372771386094	0.345434884432277
A830080D01Rik	0.222896888141306	0.223713345414229
A930017K11Rik	0.0183375836135944	0.00961538461538462
A930018P22Rik	0.00340465113863222	0.0117766652020204
AA467197	0.0107670138845363	0.0135988359894568
AA986860	0.0378935510899117	0.0482462382661837
Aaas	0.0954722693836045	0.0993185484065621
Aacs	0.187315031378362	0.235157141725152
Aadacl2	0.00340465113863222	NA
Aadacl3	0.00340465113863222	NA
Aadat	0.0305405661134753	0.0305417001191364
Aaed1	0.0632465283611629	0.104986372286489
Aagab	0.201570895473309	0.246227945697631
Aak1	0.472706481760079	0.537212191692236
Aamdc	0.120819722924535	0.14833730952641
Aamp	0.0837350682783919	0.0996210532712148
Aanat	0.0288481657295945	0.037337446902002
Aar2	0.117171812681098	0.112157683459519
Aard	0.0225895312128967	0.0387283991034839
Aars	0.155823394537587	0.190340302741346
Aars2	0.0946171516523953	0.11901369514464
Aarsd1	0.041987611078117	0.0501428512499256
Aasdh	0.111701504804569	0.109839095981586
Aasdhppt	0.0922073526865674	0.114028731419475
Aass	0.0305457939727996	0.023802502726712
Aatf	0.293264922336571	0.319836498586008
Aatk	0.222925332792409	0.311702488366061
AB124611	0.0330867993159712	0.0418004626439316
Abat	0.292709334834832	0.416775493053199
Abca1	0.230986444545565	0.218956866126876
Abca12	0.0238575533466249	0.0225547682155007
Abca13	0.038011452152946	0.0524190381812607
Abca2	0.238714318055481	0.300723366466411
Abca3	0.289949181951804	0.331886954963649
Abca4	0.0931396566535354	0.0639812882818967
Abca5	0.243054618402813	0.317002141667385
Abca6	0.0527530682586591	0.0703442146045525
Abca7	0.13606091449602	0.169551294445274
Abca8b	0.173094140368092	0.19923794314714
Abca9	0.097026357298545	0.0765482362959733
Abcb10	0.132873359136438	0.163160089007797
Abcb11	0.0148420787296389	NA
Abcb4	0.0646998709905739	0.0968614522992529
Abcb5	0.0207413097232463	0.0152043123112404
Abcb6	0.09952235222649	0.107308889891463
Abcb7	0.235688203650428	0.265524805157713
Abcb8	0.135036102108524	0.146485977343504
Abcb9	0.150971393497448	0.19035235063115
Abcc1	0.24091193927396	0.26606585785985
Abcc10	0.115305754154251	0.13958490533822
Abcc12	0.0461479880398258	0.0337682417487383
Abcc2	0.0243384668502536	0.0408834783162479
Abcc3	0.0379289568076884	0.0401293446827234
Abcc4	0.130097897608622	0.167628694697441
Abcc5	0.422269498003596	0.459310483703258
Abcc8	0.202095415966056	0.205496710628426
Abcc9	0.0494406637670782	0.0751286216410973
Abcd1	0.100607496824445	0.116011693294775
Abcd2	0.143565391157436	0.154968023613742
Abcd3	0.236375826204133	0.26500678113478
Abcd4	0.147700562416931	0.173793562591104
Abce1	0.210706228908977	0.217446040088881
Abcf1	0.166863730282502	0.180931768871494
Abcf2	0.107943819493225	0.120351441952532
Abcf3	0.120012121518251	0.157908122464941
Abcg1	0.169518042230495	0.203875423549006
Abcg4	0.143317171918067	0.182922277048075
Abcg5	0.0114286829419257	0.0235582318451527
Abcg8	0.00589709711163649	NA
Abhd10	0.125545511678612	0.135923477685704
Abhd11	0.0607637790007884	0.0618270912452433
Abhd12	0.2918714540469	0.334283421097017
Abhd12b	0.00861343137177577	0.00961538461538462
Abhd13	0.0797922485479111	0.0853065129638405
Abhd14a	0.0933626654280463	0.120392524638142
Abhd14b	0.0679471820683064	0.0910094574226882
Abhd15	0.0527884922533613	0.05327652300179
Abhd16a	0.158296488855368	0.160398926618218
Abhd17a	0.0796215481293596	0.100564767120517
Abhd17b	0.218295695958236	0.253391761472033
Abhd17c	0.167344090327946	0.159153022421125
Abhd2	0.318867858748214	0.28247290393884
Abhd3	0.115988999992378	0.157601790491422
Abhd4	0.062796546208976	0.0787165057235756
Abhd5	0.117983227675889	0.118348505564532
Abhd6	0.200925419215691	0.204426358599143
Abhd8	0.083605447374777	0.0958691846292566
Abi1	0.334582243742561	0.358998431149107
Abi2	0.387421239853024	0.362346281136393
Abi3	0.0384520927414807	0.03569129452729
Abi3bp	0.0924481000780343	0.113153197428708
Abl1	0.28939396567773	0.353037580113006
Abl2	0.390606334875099	0.377882609175455
Ablim1	0.507682828325289	0.511903562182486
Ablim2	0.336505164726026	0.484634501251057
Ablim3	0.311156519548612	0.347481486109149
Abo	0.00680942067691919	0.00961538461538462
Abr	0.449349034933966	0.547847841523952
Abra	0.0109197631987668	0.0135988359894568
Abracl	0.0652191213238343	0.0597277638460884
Abt1	0.0306241973594928	0.037337446902002
Abtb1	0.0865145706905407	0.0902061458240825
Abtb2	0.245843635210036	0.289481793952514
Acaa2	0.0900487808642558	0.0825997331769543
Acaca	0.507140668274233	0.54991485222386
Acacb	0.0557178318141666	0.064164708351251
Acad11	0.104873420182306	0.139156593693791
Acad8	0.13731315576527	0.147628857653244
Acad9	0.149233063782479	0.178646251457459
Acadl	0.0913965033914022	0.102969462430779
Acadm	0.122795367554204	0.139495123435789
Acads	0.0426230292455558	0.0466998660821505
Acadsb	0.250697835954	0.267202398470075
Acadvl	0.0882731826365926	0.119941080049725
Acan	0.0524934350327357	0.0849116324116175
Acap1	0.0174073753603911	0.0172022724842856
Acap2	0.406557463901473	0.494895317541047
Acap3	0.220964728798745	0.239025438470021
Acat1	0.243973707719862	0.30327392901533
Acbd3	0.170015096009711	0.195116883536026
Acbd4	0.0728532263770254	0.0605474456875213
Acbd5	0.243170592288088	0.272311834887776
Acbd7	0.0107670138845363	0.0172022724842856
Accs	0.070364647469824	0.0782506221830608
Accsl	0.0176764935813523	0.0152043123112404
Acd	0.0819347503960839	0.0810265660369152
Ace2	0.00982879901644583	0.0111030608834918
Acer1	0.0268177328340379	0.0272052195500258
Acer2	0.0488000933523304	0.0408834783162479
Acer3	0.27001087312496	0.316075907053227
Ache	0.110636813336506	0.1731714660651
Acin1	0.378159065823206	0.420302133707904
Ackr2	0.0204320519729586	0.0135988359894568
Ackr3	0.0769620758103095	0.0567477305646021
Ackr4	0.02156224557852	0.0263407313373784
Acly	0.240095946269847	0.256596719996119
Acmsd	0.0175193720496852	0.0166558746885991
Aco1	0.208290593712947	0.241885530893239
Aco2	0.265975907969389	0.327409433569104
Acot11	0.0766090632989396	0.134326182724962
Acot12	0.0406926015306704	0.0487397735122318
Acot13	0.0793116604643703	0.0950553759885086
Acot4	0.0196604471941468	0.0265250636511369
Acot6	0.050559002148676	0.0525186898405694
Acot7	0.295076265960939	0.366953716237266
Acot8	0.110888312290024	0.120547896035864
Acox1	0.211795793488069	0.253274705960237
Acox2	0.0119170560386822	0.0225547682155007
Acox3	0.129258801329647	0.151428373050636
Acoxl	0.0220927522872703	0.0311710994421013
Acp1	0.0891027411495728	0.111925888078084
Acp2	0.134045962653538	0.142909201459903
Acp5	0.0096301983433204	0.00961538461538462
Acp6	0.101494851085615	0.101092079819755
Acpp	0.037703561722079	0.037337446902002
Acpt	0.00982879901644583	0.00961538461538462
Acr	0.0902197853441907	0.0902977905859749
Acrbp	0.0834179275615544	0.0798881525090235
Acsbg1	0.136445713930196	0.177809305748208
Acsbg2	0.0156038804096498	0.0111030608834918
Acsf2	0.0662693332980268	0.0780868678814936
Acsf3	0.0511361985533444	0.0623012263416675
Acsl1	0.202139838669454	0.277445792087987
Acsl3	0.212624535198188	0.325454333039679
Acsl4	0.23175976473782	0.275287984366063
Acsl5	0.111142422535229	0.11952726575116
Acsm1	0.00589709711163649	0.00679894651686529
Acsm3	0.0143009140650002	0.0135988359894568
Acsm4	0.00481493172198371	0.00961538461538462
Acsm5	0.0112926048874493	0.0152043123112404
Acss1	0.165073173545066	0.172929983488574
Acss2	0.206996844410315	0.311063871706001
Acss3	0.0666417007712198	0.0674302421692554
Acta1	0.0173628985830593	0.0128495648973275
Acta2	0.010214427035104	0.0152043123112404
Actb	0.226076505029196	0.201944235395528
Actbl2	0.00761320788697256	NA
Actc1	0.00340465113863222	0.00679894651686529
Actg1	0.0567828636460495	0.0481660733593387
Actg2	0.0160269336336393	0.0117766652020204
Actl10	0.00794439063409038	0.0117766652020204
Actl6a	0.128317489334653	0.130033381640132
Actl6b	0.195387167591629	0.178776255353463
Actl7b	0.0117948094994174	0.00961538461538462
Actl9	0.00722250223583874	0.00961538461538462
Actn1	0.236347484862765	0.237577847361807
Actn2	0.202838634066412	0.17353951571737
Actn3	0.0189595921583613	0.0280431470571369
Actn4	0.280742394452014	0.293087487365158
Actr10	0.156365728446601	0.172814762181849
Actr1a	0.215491469153271	0.215334507116643
Actr1b	0.153817072246974	0.195509980791671
Actr2	0.250661670275321	0.265510382366911
Actr3	0.256895278057742	0.247838152673656
Actr3b	0.283723681927546	0.271910103746088
Actr5	0.106139110518577	0.124760145562917
Actr6	0.111229751599247	0.129484457950652
Actr8	0.164529733535608	0.175439510766084
Actrt3	0.0107670138845363	0.0192334367747743
Acvr1	0.391503656824506	0.370766051966526
Acvr1b	0.227663073956583	0.236912143930823
Acvr1c	0.115062244981233	0.0841464558679892
Acvr2a	0.315524437938811	0.315710473019258
Acvr2b	0.164707495960685	0.180249519498369
Acvrl1	0.0346936988211908	0.0326649300273846
Acy3	0.0112926048874493	0.0135988359894568
Acyp1	0.0572298923340771	0.062671579331665
Acyp2	0.315230869889131	0.393240871344922
Ada	0.0394784305725046	0.0375253080904553
Adad1	0.0195078757398482	0.0117766652020204
Adad2	0.00761320788697256	0.00679894651686529
Adal	0.117924259522702	0.148116235244534
Adam10	0.344121728459761	0.319923291386004
Adam11	0.215346036580123	0.231485479115847
Adam12	0.245029085050621	0.291954347955227
Adam15	0.123413717683175	0.152362217609485
Adam17	0.163864170928445	0.177910198746986
Adam18	0.0403588536345562	0.0490602143848041
Adam19	0.263179539831487	0.25693970250495
Adam2	0.0180587285751863	0.0269450422939148
Adam21	0.0223580863873847	0.0320168524144508
Adam22	0.535101843499335	0.590793313303765
Adam23	0.430743138421785	0.500985802725367
Adam28	0.0137609567408041	0.021504630445456
Adam29	0.00833989972832039	0.0135988359894568
Adam30	0.00340465113863222	NA
Adam32	0.0778917552219115	0.128013825342087
Adam33	0.0239605802420519	0.0463094795404127
Adam7	0.00722250223583874	0.00961538461538462
Adam8	0.0592360519899134	0.0643755005818153
Adam9	0.187685150070587	0.227155788864455
Adamdec1	0.00456784001096125	0.00679894651686529
Adamts1	0.0660697785121645	0.0605474456875213
Adamts10	0.218000317906923	0.280175660011049
Adamts12	0.113378873442979	0.149458025709559
Adamts13	0.0107670138845363	NA
Adamts14	0.0536552140176317	0.0409712450746019
Adamts15	0.0792423021447181	0.105961880997183
Adamts16	0.159392766710793	0.313017858349805
Adamts17	0.237364894616716	0.347179505685113
Adamts18	0.299449970843126	0.166252807091307
Adamts19	0.121948546956483	0.154026731291607
Adamts2	0.183825604579052	0.172352260683108
Adamts20	0.208091042405597	0.216125371435691
Adamts3	0.320430782428322	0.189897674700933
Adamts4	0.0665202890160465	0.140912188767684
Adamts5	0.0714312303275732	0.121097747153794
Adamts6	0.260493783740762	0.263598904376114
Adamts7	0.0740065832316677	0.0507320232888892
Adamts8	0.0457595803316614	0.0359991154611729
Adamts9	0.18583496041068	0.252541089976397
Adamtsl1	0.22832195875903	0.244963783142884
Adamtsl2	0.0525010909291514	0.0872197119172563
Adamtsl3	0.139403537102631	0.202191231384623
Adamtsl4	0.0313975126482818	0.0442720479275866
Adamtsl5	0.0228449207268348	0.0346699547320487
Adap1	0.220979970892836	0.268143542305359
Adap2	0.0602191520791405	0.0531052821313378
Adar	0.300782432207936	0.33884075281668
Adarb1	0.346393551855232	0.355174202371596
Adarb2	0.251435314498089	0.338120318411265
Adat1	0.130941525074345	0.162718990822572
Adat2	0.0363358983387741	0.0347769473873081
Adck1	0.206135828236235	0.256996571545806
Adck5	0.11207853974643	0.113116719863517
Adcy1	0.383947131348332	0.374867881900738
Adcy10	0.0469920499266636	0.0523998627502978
Adcy2	0.386196989220352	0.374681368831618
Adcy3	0.214738581082109	0.245865464687132
Adcy4	0.0229214614291474	0.0179908167467476
Adcy5	0.329241108765665	0.379074070201541
Adcy6	0.166938434621038	0.192303380017333
Adcy7	0.0896876754839564	0.147460897604485
Adcy8	0.312201302284049	0.489357141379554
Adcy9	0.343836797659046	0.427327361650466
Adcyap1	0.0436113929332051	0.0759197361185624
Adcyap1r1	0.275354591760876	0.323092750684518
Add1	0.379769917839539	0.434153486015101
Add2	0.283025250843149	0.242897795661714
Add3	0.36414837663832	0.395382315281209
Adgb	0.0404169198587839	0.0425474914936869
Adh4	0.00680942067691919	0.00679894651686529
Adh5	0.0949766558354974	0.100432532869216
Adh7	0.00761320788697256	0.00961538461538462
Adhfe1	0.0966391204027947	0.112466066160108
Adi1	0.048104381984271	0.0636759759627976
Adig	0.0148420787296389	0.0235582318451527
Adipoq	0.00761320788697256	NA
Adipor1	0.119968319813126	0.139544234818337
Adipor2	0.160312277913545	0.19154813015009
Adk	0.349516116411646	0.356836756516032
Adm	0.0140390382081975	0.00679894651686529
Adnp	0.0430610064598518	0.0471935905156995
Adnp2	0.127904054179959	0.147945637345948
Ado	0.0362248916419601	0.0434106784413634
Adora1	0.166390390909363	0.168422091780108
Adora2a	0.0760111658238615	0.0234026448168134
Adora2b	0.0370204328147489	0.0594494756953708
Adpgk	0.118086920238198	0.130430668522535
Adprh	0.0906931600625366	0.105563476277463
Adprhl1	0.0122764981142695	0.0204006120275414
Adprhl2	0.0779800054741967	0.0835109758015453
Adprm	0.0881901518271948	0.0989561278292781
Adra1a	0.152551084602794	0.216024950527821
Adra1b	0.0859799856168122	0.186439513044042
Adra1d	0.0369523590068818	0.0329875963485659
Adra2a	0.0368746861040951	0.0578663503471558
Adra2b	0.0130667727556697	0.0179908167467476
Adra2c	0.0225006334835152	0.0152043123112404
Adrb1	0.0394741325183049	0.0410327421119709
Adrb2	0.0163302156247742	0.0135988359894568
Adrb3	0.010214427035104	0.0218098199860328
Adrm1	0.0677340910971867	0.0657353699107302
Adss	0.202636023657883	0.220804100114239
Adssl1	0.0337560176576012	0.089236510022348
Adtrp	0.0198868805695645	0.0247417989270822
Aebp1	0.0564893760127794	0.0586606308786915
Aebp2	0.20475108121338	0.256292747604761
Aen	0.0707894341089986	0.0677499182698855
AF529169	0.101505427374388	0.173668880385279
Afap1	0.31840449537264	0.288185111400682
Afap1l1	0.0786183227962879	0.120074316914468
Afap1l2	0.200078652831091	0.200448342130468
Aff1	0.127477257139713	0.156397773580478
Aff2	0.411776055071256	0.429160795549776
Aff3	0.640995009770097	0.60389056589591
Aff4	0.380995464170674	0.41327884339069
Afg3l2	0.226151823594705	0.276466189763648
Afm	0.00761320788697256	0.0135988359894568
Afmid	0.0245585487731963	0.0346880102135179
Afp	0.00680942067691919	0.00679894651686529
Aftph	0.250721532338552	0.273209704211804
Aga	0.0554871665304827	0.0657353699107302
Agap1	0.622724082895935	0.702708433529289
Agap2	0.271589484008011	0.277230726487573
Agap3	0.287576829451204	0.309204020681272
Agbl1	0.0652088041736254	0.086693807977443
Agbl2	0.0415904334377608	0.0329875963485659
Agbl3	0.100487436379413	0.117763959935828
Agbl4	0.357114713399112	0.544127463761715
Agbl5	0.141929070474314	0.140115635653953
Ager	0.021088079054383	0.0166558746885991
Agfg1	0.283211627316721	0.313019088507525
Agfg2	0.193022561300134	0.207886305810428
